normalized	headword	source	sourceUrl
AŞITÎ	AŞITÎ	legacy	
BERXW	BERXW	legacy	
BÊROJ	BÊROJ	legacy	
BÎRAN	BÎRAN	legacy	
DAY	DAY	legacy	
DAYÎK	DAYÎK	legacy	
DIWÊR	DIWÊR	legacy	
EVIN	EVIN	legacy	
GEWZE	GEWZE	legacy	
GIHA	GIHA	legacy	
HEKIM	HEKIM	legacy	
HEWŞE	HEWŞE	legacy	
HOLE	HOLE	legacy	
KEDER	KEDER	legacy	
KELAM	KELAM	legacy	
KELEJ	KELEJ	legacy	
KEZAL	KEZAL	legacy	
KULÎL	KULÎL	legacy	
KÊTOR	KÊTOR	legacy	
LEZAN	LEZAN	legacy	
MANGE	mange	wiktionary+legacy	https://ku.wiktionary.org/wiki/mange
MÊRXE	MÊRXE	legacy	
NARIN	NARIN	legacy	
NEHIR	NEHIR	legacy	
NEHÊN	NEHÊN	legacy	
NEXAŞ	NEXAŞ	legacy	
NIRXE	NIRXE	legacy	
NISAN	NISAN	legacy	
NIŞAN	NIŞAN	legacy	
NÊZIK	NÊZIK	legacy	
NÛBÛN	NÛBÛN	legacy	
PAYÎZ	PAYÎZ	legacy	
QENÇÎ	QENÇÎ	legacy	
RESIM	RESIM	legacy	
REWŞE	REWŞE	legacy	
ROJAV	ROJAV	legacy	
RONIN	RONIN	legacy	
RÛKAL	RÛKAL	legacy	
SAATÊ	SAATÊ	legacy	
SARD	SARD	legacy	
SERKEFTÎ	SERKEFTÎ	legacy	
SERÊK	SERÊK	legacy	
SIBEH	SIBEH	legacy	
TIRÊJ	TIRÊJ	legacy	
TIRŞE	TIRŞE	legacy	
TOFAN	TOFAN	legacy	
TOLA	TOLA	legacy	
WELÊTÎ	WELÊTÎ	legacy	
WÊNEK	WÊNEK	legacy	
XELAS	xelas	wiktionary+legacy	https://ku.wiktionary.org/wiki/xelas
XEWNA	XEWNA	legacy	
ÇEMEK	ÇEMEK	legacy	
ÇIMÊN	ÇIMÊN	legacy	
ÇÎNAR	ÇÎNAR	legacy	
ÇÎYAN	ÇÎYAN	legacy	
ÇÛBÛN	ÇÛBÛN	legacy	
ÇÛYÎN	ÇÛYÎN	legacy	
ÊVARÊ	ÊVARÊ	legacy	
ŞADÎN	ŞADÎN	legacy	
ŞEVÊN	ŞEVÊN	legacy	
ŞEWAN	ŞEWAN	legacy	
ŞORBA	ŞORBA	legacy	
